Site,Longitude,Latitude,BurialNumber,DeltaC13Car,DeltaC13Col,DeltaN,C_N,MidDate,MidDate2,CompID,CompID1,CompID3,BRMIndex,PlusSigma,MinusSigma,Source,Setting,Setting2,
41KR241,-99.62424188,30.24801723,,-7.71,-14.79,9.43,,7484,-7484.01,Component II,Component II,,,,NA,NSF 2015,Inland,CTx,
41KR241,-99.62424188,30.24801723,,-7.23,-13.97,9.65,,7465,-7465,Component II,Component II,,,,NA,NSF 2015,Inland,CTx,
41KR241,-99.62424188,30.24801723,,-7.24,-15.47,9.14,,7438,-7438,Component II,Component II,,,,NA,NSF 2015,Inland,CTx,
41KR241,-99.62424188,30.24801723,,-6.62,-12.86,10.95,,7359,-7359,Component II,Component II,,,,NA,NSF 2015,Inland,CTx,
41KR241,-99.62424188,30.24801723,,-6.74,-14.64,9.21,,7305,-7305,Component II,Component II,,,,NA,NSF 2015,Inland,CTx,
41KR241,-99.62424188,30.24801723,,-6.3,-13.71,9.8,,7220,-7220,Component II,Component II,,,,NA,NSF 2015,Inland,CTx,
41KR241,-99.62424188,30.24801723,,-6.9,-14.81,8.91,,7210,-7210,Component II,Component II,,,,NA,NSF 2015,Inland,CTx,
41KR241,-99.62424188,30.24801723,,-6.27,-14.43,9.58,,7196,-7196,Component II,Component II,,,,NA,NSF 2015,Inland,CTx,
41KR241,-99.62424188,30.24801723,,-6.17,-14.06,10.18,,7104,-7104,Component II,Component II,,,,NA,NSF 2015,Inland,CTx,
41KR241,-99.62424188,30.24801723,-,-5.9,-13.7,8.8,Unknown,6915,-6915,Component II,Component II,,,7050-6780,NA,Bement 1994,Inland,CTx,
41KR241,-99.62424188,30.24801723,-,-7.3,-14.9,9.6,Unknown,6915,-6915,Component II,Component II,,,7050-6780,NA,Bement 1994,Inland,CTx,
41KR241,-99.62424188,30.24801723,,-7.2,-14.6,10.55,,6915,-6915,Component II,Component II,,,,NA,NSF 2015,Inland,CTx,
41KR241,-99.62424188,30.24801723,,-6.19,-13.15,10.49,,6764,-6764,Component II,Component II,,,,NA,NSF 2015,Inland,CTx,
41KR241,-99.62424188,30.24801723,,-4.81,-11.69,12.2,,6722,-6722,Component II,Component II,,,,NA,NSF 2015,Inland,CTx,
41KR241,-99.62424188,30.24801723,,-7.19,-14.53,10.08,,6692,-6692,Component II,Component II,,,,NA,NSF 2015,Inland,CTx,
41KR241,-99.62424188,30.24801723,,-6.71,-13.68,11.38,,6611,-6611,Component II,Component II,,,,NA,NSF 2015,Inland,CTx,
41KR241,-99.62424188,30.24801723,,-7.11,-13.79,9.44,,6583,-6583,Component II,Component II,,,,NA,NSF 2015,Inland,CTx,
41KR241,-99.62424188,30.24801723,,-6.57,-13.98,9.56,,6570,-6570,Component II,Component II,,,,NA,NSF 2015,Inland,CTx,
41KR241,-99.62424188,30.24801723,,-6.99,-14.38,9.28,,6555,-6555,Component II,Component II,,,,NA,NSF 2015,Inland,CTx,
41KR241,-99.62424188,30.24801723,,-7.45,-13.82,9.86,,6555,-6555,Component II,Component II,,,,NA,NSF 2015,Inland,CTx,
41KR241,-99.62424188,30.24801723,,-7.46,-14.76,9.24,,6478,-6478,Component II,Component II,,,,NA,NSF 2015,Inland,CTx,
