Site,Feature,MedCal,SurfaceArea,LnSurfaceArea,RockNumber,RockWeight
41KM16,Feature 10,139,0.785,-0.242071561199729,NA,NA
41HY202-A,Feature 27,151,0.6789,-0.387281437674536,NA,NA
41WM1010,"Feature A2, TU 3",191,0.99,-0.010050335853502,46,9
41MS32,Feature 3,170,3.52,1.25846098961001,170,NA
41KM16,Feature 16,239,1.76625,0.5688586550166,NA,NA
41KM16,Feature 15,300,0.2826,-1.26372280873171,NA,NA
41CV0587,Feature 2,304,1,0,NA,NA
41KM69,Feature 2,308,1.5386,0.430872912042697,122,23.18
41LM50,Feature 2,317,0.9,-0.105360515657826,NA,NA
41HY209-T,Feature 19,321,0.4,-0.916290731874155,NA,NA
41MS32,Feature 5,326,0.52,-0.653926467406664,60,NA
41KM226,Feature 8,384,0.595,-0.519193873436507,125,23
41LM50,Feature 1,392,1,0,NA,NA
41MS32,Feature 22,398,2.88,1.05779029414785,200,NA
41ED28,Feature 21,398,0.4216,-0.863698281754984,78,15.95
41CV1085,Feature 1,418,1.43,0.357674444271816,NA,NA
41HY209-T,Feature 21,428,0.38465,-0.955421449077193,NA,NA
41HM51,Feature 8,433,1.116,0.109750863959119,425,55.1
41BL198,Feature 1,432,144,4.969813299576,NA,NA
41ED28,Feature 38,432,0.3,-1.20397280432594,75,14.7
41HM51,Feature 4,447,0.09,-2.40794560865187,3,0.1
41HY209-M,Feature 2,425,126,4.83628190695148,NA,NA
41KM16,Feature 5,437,1.5386,0.430872912042697,NA,NA
41HM51,Feature 10,441,0.477594,-0.738994279796728,48,43.9
41CV1167,Feature 1,441,0.25,-1.38629436111989,NA,NA
41KM226,Feature 5,480,0.2304,-1.4679383501604,16,8.4
41KM226,Feature 6,484,1.08,0.076961041136128,119,44.9
41KM16,Feature 3,460,1.5386,0.430872912042697,NA,NA
41KM16,Feature 14,465,0.94985,-0.051451201591079,NA,NA
41BL564,Feature 1,491,132,4.88280192258637,NA,NA
