CultIndex,Individual ID (paper),delta13ccol,delta15n,delata13ccar,C/N,time (RC uncalibrated),time error,period name,TimeID,period age range,PhaseID,PeriodBP,PeriodBP2,age (paper),Setting,sex,NsexDif,CsexDif,Region,Location (paper),Estimated Latitude,Estimated Longitude,material,body part,Region,location,reference
0.62,NF-67,-13.2,10.6,,3.3,,,Oneota,5,1250-1560 CE,Malthusian,500,500,Older Adult,I,M,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-70,-13.1,10.7,,3.2,,,Oneota,5,1250-1560 CE,Malthusian,500,500,Older Adult,I,M,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF71,-12.7,9.7,,3.2,,,Oneota,5,1250-1560 CE,Malthusian,500,500,Middle Age Adult,I,M,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-79,-9.3,12.1,,3,,,Oneota,5,1250-1560 CE,Malthusian,500,500,1-2 Years Old,I,I,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-86,-10.9,10.4,,3.1,,,Oneota,5,1250-1560 CE,Malthusian,500,500,Older Adult,I,F,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-89,-12,9.6,,3.3,,,Oneota,5,1250-1560 CE,Malthusian,500,500,5-15 Years,I,I,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-90,-11.6,10.3,,3.2,,,Oneota,5,1250-1560 CE,Malthusian,500,500,Middle Age Adult,I,F,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-91,-12.2,9.9,,3.3,,,Oneota,5,1250-1560 CE,Malthusian,500,500,Middle Age Adult,I,F,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-101,-20.2,10.9,,3.2,,,Oneota,5,1250-1560 CE,Malthusian,500,500,1-2 Years Old,I,I,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-113,-13.3,9.7,,3.2,,,Oneota,5,1250-1560 CE,Malthusian,500,500,5-15 Years,I,I,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
0.62,NF-128,-10.3,12,,3,,,Oneota,5,1250-1560 CE,Malthusian,500,500,2-4 Years Old ,I,I,Yes,No,Upper Mississippi,Norris Farms Illinois,40.24,-90.14,,,Midwest,,"Tubbs, Ryan Maureen. 2013. ETHNIC IDENTITY AND DIET IN THE CENTRAL ILLINOIS RIVER VALLEY. PhD Dissertation. Michigan State University, East Lansing, MI."
