Site,County,State,Inclusion2,Inclusion,BP,PeriodID,PeriodID2,TimeID,Nuts,EAC,IP,IP Source,CultIndex,MesoIndex,MesoIndex2
Walling,Madison,AL,0,0,1775,1899-1250,2,1500,173,250,0,0 Scarry 1990:121,0.591016548,0,
Kochtitzky Ditch,Mississippi,AR,0,1,738,749-300,5,500,170,868,9353,"9353 Lopinot and Thomas 1999:349, 358",0.983639688,0.900105861,
"Parkin, Locus 1",Cross,AR,0,1,650,749-300,5,500,1921,89,2506,2506 Scarry and Reitz 2005:110,0.574623561,0.554915855,
"Parkin, Locus 4",Cross,AR,0,1,500,749-300,5,500,10774,819,12770,12770 Scarry and Reitz 2005:111,0.557772031,0.524155482,
McLean,St Clair,IL,1,1,4650,5000-3450,0,4500,17355,77,0,0 Johannessen 1986:90-93,0.004417164,0,0
"Modoc, 7E",Randolph,IL,1,1,4650,5000-3450,0,4500,821,13,0,0 King 1992:83-84,0.01558753,0,0
Go-Kart North,Monroe,IL,1,1,4100,5000-3450,0,4000,7316,5,0,0 Johannessen 1984c:173,0.000682967,0,0
"Modoc, 9E",Randolph,IL,1,1,4100,5000-3450,0,4000,3660,35,0,0 King 1992:83-84,0.00947226,0,0
Brush College School,Pike,IL,1,1,4075,5000-3450,0,4000,191,1,0,0 Schroeder 1994:170,0.005208333,0,0
Axedental,Pike,IL,1,1,3595,5000-3450,0,3500,121995,36,0,"0 Schroeder 1994:111, 171-177",0.000295007,0,0
Marge,Monroe,IL,1,1,3325,3400-1900,1,3000,916,9,0,0 Simon 1996b:87,0.00972973,0,0
Christianson,Rock Island,IL,1,1,3025,3400-1900,1,3000,1564,3,0,0 Parker 2006b:136,0.001914486,0,0
Dyroff,St Clair,IL,1,1,2850,3400-1900,1,2500,973,6,0,0 Johannessen 1984a:300,0.006128703,0,0
Floyd,Madison,IL,1,1,2850,3400-1900,1,2500,21984,24,0,0 Parker 2001b:120-121,0.001090513,0,0
Meyer,St Clair,IL,1,1,2850,3400-1900,1,2500,8,1,0,0 Fortier et al. 1998:219,0.111111111,0,0
MoPac2,St Clair,IL,1,1,2850,3400-1900,1,2500,2699,15,0,"0 Johannessen 1983c:199, 201, 209",0.005526898,0,0
Range,St Clair,IL,1,1,2850,3400-1900,1,2500,77,2,0,0 Johannessen 1987a:103,0.025316456,0,0
Ringerling,Madison,IL,1,1,2850,3400-1900,1,2500,97,3,0,0 Simon 2000:356,0.03,0,0
Ambrose Flick,Pike,IL,1,1,2600,3400-1900,1,2500,5515,796,0,"0 Asch and Asch Sidell 1992:214, 220",0.126128981,0,0
Carbon Monoxide,Monroe,IL,1,1,2450,3400-1900,1,2000,0,2,0,0 Johannessen 1985e:288,1,0,0
Ringerling,Madison,IL,1,1,2450,3400-1900,1,2000,288,0,0,0 Simon 2000:364,0,0,0
Florence Street,St Clair,IL,1,1,2400,3400-1900,1,2000,387,13,0,"0 Johannessen 1983a:137, 142",0.0325,0,0
Ambrose Flick,Pike,IL,1,1,2300,3400-1900,1,2000,10,1,0,0 Asch and Asch Sidell 1992:264,0.090909091,0,0
Fiege,Monroe,IL,1,1,2300,3400-1900,1,2000,174,1,0,0 Johannessen 1985e:286,0.005714286,0,0
Carbon Monoxide,Monroe,IL,1,1,2225,3400-1900,1,2000,1321,0,0,0 Johannessen 1985e:289,0,0,0
Ringerling,Madison,IL,1,1,2175,3400-1900,1,2000,169,2,0,0 Simon 2000:371,0.011695906,0,0
Dickson Camp & Pond,Fulton,IL,1,1,2150,3400-1900,1,2000,1941,12,0,0 Asch and Asch 1980:153,0.006144393,0,0
Ambrose Flick,Pike,IL,1,1,2100,3400-1900,1,2000,50,1,0,"0 Asch and Asch Sidell 1992:266, 268",0.019607843,0,0
Bushmeyer,Pike,IL,1,1,2100,3400-1900,1,2000,2172,7,0,"0 Schroeder 1997:128, 145-160",0.003212483,0,0
Rogers Lake,Pike,IL,1,1,2100,3400-1900,1,2000,1222,10,0,"0 Schroeder 1997:128, 167-171",0.008116883,0,0
Sand Trees,Pike,IL,1,1,2100,3400-1900,1,2000,385,6,0,"0 Schroeder 1997:128, 161-165",0.015345269,0,0
Kincaid,Massac,IL,1,1,2050,3400-1900,1,2000,7120,400,0,"0 Parker and Butler 2017:124, 125, 128",0.053191489,0,0
Mund,St Clair,IL,1,1,2050,3400-1900,1,2000,2757,102,0,0 Johannessen 1983b:96,0.03567681,0,0
Petite Michele,St Clair,IL,1,1,2050,3400-1900,1,2000,158,188,0,0 Parker 2004:159,0.543352601,0,0
C House,Pike,IL,1,1,2040,3400-1900,1,2000,391,6,0,0 Schroeder 2005:99,0.01511335,0,0
Widman,Madison,IL,1,1,2007,3400-1900,1,2000,1444,21,0,0 Wolforth et al. 1990:53-4,0.014334471,0,0
Holding,Madison,IL,1,1,1950,3400-1900,1,1500,2959,3055,2,"2 Parker 1989:434-445, 451-2",0.508144947,0.000332447,0
Meridian Hills,Madison,IL,1,1,1950,3400-1900,1,1500,12132,5346,0,"0 Parker 2005a:106, 118-119",0.305870237,0,0
Nochta,Madison,IL,1,1,1950,3400-1900,1,1500,993,5,0,0 Simon 1990:262,0.00501002,0,0
Mound House,Greene,IL,1,1,1930,3400-1900,1,1500,184,108,0,"0 Schroeder 1998:181-2, 186-187",0.369863014,0,0
Shaw,Ogle,IL,1,1,1930,3400-1900,1,1500,20,2,0,0 Parker 2010:625,0.090909091,0,0
Frog City,Alexander,IL,1,1,1922,3400-1900,1,1500,72,14,0,0 Asch and Asch 1978:128-130,0.162790698,0,0
Archie,Morgan,IL,1,1,1900,3400-1900,1,1500,948,758,0,0 Asch DL and Asch NB 1985a:213-8,0.444314185,0,0
Bosque Medio,Madison,IL,1,1,1900,3400-1900,1,1500,560,65,0,0 Fortier and Ghosh 2000:36-37,0.104,0,0
Carrier Mills,Saline,IL,1,1,1900,3400-1900,1,1500,78708,56,0,"0 Lopinot 1982b:719, 789",0.000710985,0,0
Massey,Morgan,IL,1,1,1900,3400-1900,1,1500,2572,820,0,0 Asch DL and Asch NB 1985a:213-8,0.241745283,0,0
Spoon Toe,Morgan,IL,1,1,1900,3400-1900,1,1500,3315,347,0,"0 Calentine 2005:55, 64",0.094756963,0,0
Napoleon Hollow,Pike,IL,1,1,1890,1899-1250,2,1500,2092,66,0,"0 Asch NB and Asch DL 1986:478, 482-483",0.030583874,0,0
Smiling Dan,Scott,IL,1,1,1850,1899-1250,2,1500,29532,12890,0,"0 Asch DL and Asch NB 1985b:350, 357",0.303851775,0,0
Willoughby,Madison,IL,1,1,1813,1899-1250,2,1500,279,1,0,0 Dunavan 1990a:77,0.003571429,0,0
Dash Reeves,Monroe,IL,1,1,1775,1899-1250,2,1500,507,358,0,0 Simon 2001:230,0.413872832,0,0
Skinned Rabbit,Madison,IL,1,1,1775,1899-1250,2,1500,104,791,0,0 Lopinot 1989:107,0.883798883,0,0
Truck 7,Monroe,IL,1,1,1775,1899-1250,2,1500,951,318,0,0 Johannessen 1985e:294-297,0.250591017,0,0
Alpha 1,St Clair,IL,1,1,1625,1899-1250,2,1500,284,8392,0,0 Johannessen and Whalley 1988:273,0.967266021,0,0
Carbon Dioxide,Monroe,IL,1,1,1625,1899-1250,2,1500,4717,11,0,0 Johannessen 1985c:99,0.002326565,0,0
