OBJECTID,LabID,Age,Error,Material,Taxa,d13C,Method,Long,Lat,LocAccuracy,Period,SiteID,SiteName,Country,Province,Continent,Source,Reference,calib,NEAR_FID,NEAR_DIST
2082,AA-55199,2830,45,ANIMAL,Antler,NA,AMS,-94.8104705,36.8356347,1,NA,34OT100,Sulphur Spring,USA,Oklahoma,North America,UWyo2021,Ray et al. 2009;,intcal20,165275,801721.684229777
20,A-11084,515,75,BONE,Bison sp. skull,-18.5,RADIOMETRIC,-93.85050972,37.43227045,1,NA,23DA-VP,Sons Creek,USA,Missouri,North America,UWyo2021,Thomas and Ray 2002,intcal20,165275,866788.116912574
599,AA-100255,6249,69,BONE,antler,-21.9,AMS,-88.06834735,36.06987634,1,NA,40BN12,Eva,USA,Tennessee,North America,UWyo2021,Bissett 2014 dissertation,intcal20,162716,617157.995554176
600,AA-100256,5799,65,BONE,NA,-22.6,AMS,-88.06834735,36.06987634,1,NA,40BN12,Eva,USA,Tennessee,North America,UWyo2021,Bissett 2014 dissertation,intcal20,162716,617157.995554176
601,AA-100257,2939,53,BONE,NA,-22.4,AMS,-88.30134306,36.33187437,1,NA,40HY13,Kays Landing,USA,Tennessee,North America,UWyo2021,Bissett 2014,intcal20,162716,648397.232690761
602,AA-100258,3588,55,BONE,antler,-22.3,AMS,-88.30134306,36.33187437,1,NA,40HY13,Kays Landing,USA,Tennessee,North America,UWyo2021,Bissett 2014,intcal20,162716,648397.232690761
603,AA-100259,3632,57,BONE,antler,-22,AMS,-88.30134306,36.33187437,1,NA,40HY13,Kays Landing,USA,Tennessee,North America,UWyo2021,Bissett 2014,intcal20,162716,648397.232690761
604,AA-100260,3646,63,BONE,antler,-22.4,AMS,-88.30134306,36.33187437,1,NA,40HY13,Kays Landing,USA,Tennessee,North America,UWyo2021,Bissett 2014,intcal20,162716,648397.232690761
605,AA-100261,4178,57,BONE,antler,-23.1,AMS,-88.30134306,36.33187437,1,NA,40HY13,Kays Landing,USA,Tennessee,North America,UWyo2021,Bissett 2014,intcal20,162716,648397.232690761
606,AA-100262,3699,54,BONE,antler,-21.3,AMS,-88.30134306,36.33187437,1,NA,40HY13,Kays Landing,USA,Tennessee,North America,UWyo2021,Bissett 2014,intcal20,162716,648397.232690761
607,AA-100263,4261,57,BONE,antler,-21.5,AMS,-88.30134306,36.33187437,1,NA,40HY13,Kays Landing,USA,Tennessee,North America,UWyo2021,Bissett 2014,intcal20,162716,648397.232690761
608,AA-100264,3851,55,BONE,antler,-22.4,AMS,-88.30134306,36.33187437,1,NA,40HY13,Kays Landing,USA,Tennessee,North America,UWyo2021,Bissett 2014,intcal20,162716,648397.232690761
609,AA-100265,4802,58,BONE,NA,-20.9,AMS,-88.30134306,36.33187437,1,NA,40HY13,Kays Landing,USA,Tennessee,North America,UWyo2021,Bissett 2014,intcal20,162716,648397.232690761
610,AA-100266,4169,56,BONE,antler,-21.7,AMS,-88.30134306,36.33187437,1,NA,40HY13,Kays Landing,USA,Tennessee,North America,UWyo2021,Bissett 2014,intcal20,162716,648397.232690761
611,AA-100267,4175,56,BONE,antler,-22.3,AMS,-88.30134306,36.33187437,1,NA,40HY13,Kays Landing,USA,Tennessee,North America,UWyo2021,Bissett 2014,intcal20,162716,648397.232690761
612,AA-100268,4688,59,BONE,antler,-21.7,AMS,-88.30134306,36.33187437,1,NA,40HY13,Kays Landing,USA,Tennessee,North America,UWyo2021,Bissett 2014,intcal20,162716,648397.232690761
613,AA-100269,6460,70,BONE,antler,-22.3,AMS,-88.30134306,36.33187437,1,NA,40HY18,Big Sandy,USA,Tennessee,North America,UWyo2021,Bissett 2014 dissertation,intcal20,162716,648397.232690761
614,AA-100270,6265,69,BONE,antler,-21.9,AMS,-88.30134306,36.33187437,1,NA,40HY18,Big Sandy,USA,Tennessee,North America,UWyo2021,Bissett 2014 dissertation,intcal20,162716,648397.232690761
615,AA-100271,7564,81,BONE,antler,-23.1,AMS,-88.30134306,36.33187437,1,NA,40HY18,Big Sandy,USA,Tennessee,North America,UWyo2021,Bissett 2014 dissertation,intcal20,162716,648397.232690761
616,AA-100272,7795,78,BONE,antler,-21.7,AMS,-88.30134306,36.33187437,1,NA,40HY18,Big Sandy,USA,Tennessee,North America,UWyo2021,Bissett 2014 dissertation,intcal20,162716,648397.232690761
656,AA-101226,2560,47,BONE,NA,-21.1,AMS,-88.06834735,36.06987634,1,NA,40BN25,Ledbetter Landing,USA,Tennessee,North America,UWyo2021,Bissett 2014 dissertation,intcal20,162716,617157.995554176
657,AA-101227,4005,52,BONE,NA,-22.1,AMS,-88.06834735,36.06987634,1,NA,40BN25,Ledbetter Landing,USA,Tennessee,North America,UWyo2021,Bissett 2014 dissertation,intcal20,162716,617157.995554176
