"calBP","PrDens","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","MKDE"
3470,5.79416666625509,0.0016946,0.0016767,0.0016724,0.0014101,0.0016402,0.0012551,0.0014209,0.0011629,0.0011716,0.0015769,0.0014973,0.0013239,0.0012885,0.0015456,0.0016667,0.0016012,0.0016665,0.0012909,0.0014636,0.001605,0.0015203,0.0014097,0.0015203,0.0016275,0.001332,0.0016758,0.0017806,0.0017229,0.001462,0.001442,0.0016364,0.0011053,0.0015715,0.0014038,0.0013964,0.0013835,0.0016563,0.0015326,0.0013368,0.0014875,0.0015032,0.0015483,0.00156,0.0014182,0.0013123,0.0017205,0.0013037,0.0014471,0.00152,0.0016222,0.0014906,0.0015162,0.001623,0.0015117,0.0014731,0.001444,0.0015227,0.0012375,0.0016574,0.0015915,0.0013959,0.001361,0.0014792,0.0016497,0.0015788,0.0013116,0.001449,0.0016006,0.0015375,0.00157,0.0015634,0.001552,0.0013839,0.0014805,0.001318,0.0016151,0.001233,0.0016043,0.0013694,0.001432,0.0015145,0.0016708,0.0014592,0.0013946,0.0013451,0.0014772,0.0012603,0.0015373,0.0014908,0.001318,0.001684,0.0012935,0.001554,0.0014232,0.0014796,0.0014392,0.0015275,0.0015299,0.0016295,0.0014556,0.0014795,0.0013995,0.0014052,0.0013355,0.001688,0.0016067,0.001437,0.0016536,0.001416,0.0015954,0.0017176,0.0017118,0.0014325,0.0014787,0.0015585,0.0015521,0.0015965,0.001777,0.0015893,0.001418,0.0014017,0.0016092,0.0013639,0.0014002,0.0015767,0.0014676,0.001633,0.0011603,0.0018045,0.0012718,0.0016539,0.0013507,0.0014501,0.0014329,0.001578,0.0014115,0.0014966,0.00171,0.001494,0.001473,0.0016901,0.0012927,0.0015399,0.00159,0.0014133,0.0012486,0.0013516,0.0014619,0.0015603,0.0017775,0.0014925,0.0018298,0.0015734,0.0015484,0.0017302,0.0014609,0.0016651,0.0014145,0.0016452,0.0014227,0.0015109,0.0015056,0.001617,0.0014997,0.0013865,0.0016043,0.0016107,0.0016141,0.0015489,0.0016382,0.0012358,0.0014061,0.0017355,0.0014806,0.0016214,0.0014745,0.0013089,0.0013936,0.0013982,0.0015823,0.001492,0.0015139,0.0014007,0.0017362,0.0014097,0.0013393,0.0014955,0.0014238,0.0013089,0.0015577,0.001555,0.0012687,0.0014272,0.0014604,0.0014623,0.0018006,0.0013122,0.0014248,0.0013766,0.0017219,0.0014979053160545
3440,5.02907837841963,0.001541,0.0015195,0.0015583,0.0013795,0.0016587,0.0012596,0.0014542,0.0010415,0.001157,0.0013629,0.0014601,0.0012453,0.0012987,0.0013746,0.0015626,0.0014467,0.0015658,0.0012593,0.0013824,0.001411,0.0013913,0.0014107,0.0014099,0.0015375,0.001332,0.0016019,0.0017318,0.0016494,0.0013275,0.0013029,0.0014792,0.0010198,0.0014727,0.0012067,0.0013018,0.0013946,0.00141,0.0014415,0.001313,0.0014196,0.0013893,0.0014945,0.0014282,0.0013427,0.0012692,0.001737,0.0012027,0.0012162,0.0014039,0.0014208,0.001389,0.0014265,0.0015024,0.0013497,0.0012812,0.0013816,0.0015075,0.001101,0.0016,0.0015485,0.0014019,0.0012335,0.001304,0.0014877,0.0013734,0.0012079,0.0014262,0.0014505,0.0014732,0.0014504,0.0013778,0.00141,0.0012775,0.0013163,0.001172,0.001407,0.0012305,0.0015886,0.001206,0.0013788,0.0014843,0.001542,0.0013577,0.0013078,0.0012627,0.0014404,0.0011563,0.0014582,0.0014297,0.001333,0.0016418,0.0013258,0.0014603,0.0012773,0.001331,0.0013905,0.0013782,0.0014507,0.0015265,0.0013746,0.0012492,0.0012604,0.0012993,0.0013048,0.001527,0.0014644,0.0012627,0.0014856,0.00138,0.0015435,0.0015685,0.0016647,0.0013425,0.0013483,0.0014378,0.0014513,0.0014465,0.0016008,0.0013421,0.001343,0.0012771,0.001516,0.0012816,0.001268,0.0014944,0.0013236,0.0015293,0.001045,0.001491,0.0013132,0.0014936,0.0011983,0.0012741,0.001247,0.001518,0.0013205,0.0014569,0.0014865,0.0014025,0.001338,0.0015378,0.0011243,0.0014518,0.0014608,0.0013503,0.001243,0.0012473,0.0012767,0.0013614,0.0016596,0.0013254,0.0016935,0.0014211,0.0014796,0.0015973,0.0013882,0.00153,0.001431,0.0015457,0.0013389,0.0014286,0.0014231,0.001482,0.0013585,0.0012594,0.0014386,0.0014585,0.0013963,0.0014258,0.0014864,0.0012732,0.0013089,0.001713,0.0013326,0.0015501,0.0013187,0.0013402,0.0012422,0.0014157,0.001505,0.0014294,0.0013415,0.0012748,0.0015945,0.0012231,0.0012661,0.0013492,0.0012907,0.0013286,0.0015791,0.0013826,0.0011866,0.0015076,0.0013347,0.00132,0.0016156,0.0013212,0.0012687,0.0013658,0.0014462,0.00139414867613597
3410,3.8285532334956,0.0013906,0.0013592,0.0014409,0.0013265,0.001646,0.0012557,0.0014593,0.0009276,0.0011392,0.0011727,0.0014097,0.001166,0.0012872,0.0012158,0.0014518,0.001294,0.0014573,0.0012373,0.0012922,0.0012271,0.0012595,0.0013875,0.0012995,0.0014403,0.00132,0.0015134,0.0016532,0.0015588,0.0012151,0.0011723,0.0013226,0.0009437,0.0013745,0.0010315,0.0012061,0.001391,0.0011903,0.0013496,0.001281,0.0013436,0.0012778,0.0014351,0.0013079,0.0012798,0.0012181,0.0017109,0.0011203,0.0010143,0.0012864,0.0012359,0.0012865,0.0013276,0.0013737,0.0012128,0.0011022,0.0013169,0.0014792,0.0009783,0.0015394,0.0014958,0.0013919,0.0011067,0.0011489,0.0013242,0.0011769,0.0011095,0.0013904,0.001302,0.0013964,0.0013377,0.0012058,0.0012612,0.0011771,0.0011631,0.0010501,0.0012188,0.001217,0.0015596,0.0010586,0.0013191,0.0014342,0.0014202,0.0012624,0.0012045,0.0011806,0.0013948,0.0010594,0.0013615,0.0013563,0.0013329,0.001582,0.0013397,0.0013677,0.0011376,0.0012044,0.0013256,0.0012271,0.0013631,0.001411,0.0012859,0.0010395,0.0011322,0.0011939,0.0012726,0.0013858,0.0013205,0.0011103,0.0013148,0.0013393,0.0014804,0.0014251,0.0015964,0.0012549,0.0012278,0.0013213,0.0013445,0.0013105,0.0014272,0.0011095,0.0012711,0.0011742,0.0014268,0.0012076,0.001156,0.001418,0.0011833,0.0014127,0.0009458,0.0012034,0.0013438,0.0013357,0.001051,0.0011057,0.0010707,0.0014532,0.0012174,0.0014033,0.0012815,0.0012972,0.0012232,0.0013893,0.0009727,0.0013764,0.0013369,0.0012977,0.0012372,0.0011409,0.0011027,0.0011766,0.0015258,0.0011708,0.0015504,0.001261,0.0014026,0.0014585,0.0013028,0.001411,0.0014205,0.0014426,0.0012566,0.0013484,0.0013417,0.0013508,0.0012237,0.0011412,0.0012783,0.0013062,0.001201,0.0013056,0.0013265,0.0012931,0.0012049,0.0016754,0.0011971,0.0014537,0.001158,0.0013432,0.0010984,0.0014061,0.0014118,0.001348,0.0011908,0.0011586,0.0014581,0.0010555,0.0011893,0.0012093,0.0011668,0.0013477,0.0015657,0.0012162,0.0011096,0.0015576,0.0012156,0.0011876,0.0014242,0.0013184,0.0011383,0.0013416,0.0011959,0.00129028320631067
3380,3.62544204262009,0.001254,0.001184,0.0013092,0.0011666,0.0014824,0.0012096,0.0013282,0.0008517,0.0011074,0.0010968,0.0012964,0.0010838,0.0011711,0.0011149,0.0013065,0.0011501,0.0013111,0.0012624,0.0011577,0.0010915,0.0011137,0.0012411,0.0011893,0.0013095,0.0012616,0.0013546,0.001432,0.0013862,0.001212,0.001084,0.0011675,0.000913,0.001281,0.0009615,0.0011074,0.0013162,0.0010978,0.0012551,0.0012102,0.0012293,0.0011768,0.0013485,0.0012443,0.0012766,0.0011283,0.0014791,0.0011295,0.0009499,0.0011617,0.0011308,0.0011805,0.0011811,0.0012048,0.0011989,0.0009837,0.0012417,0.001388,0.0009235,0.0014638,0.0013983,0.0013059,0.0009836,0.0010876,0.0011527,0.0010233,0.0010357,0.0012933,0.0011671,0.00126,0.001258,0.0010986,0.0010781,0.0011073,0.0010615,0.0010437,0.0011258,0.0011469,0.0014672,0.0009875,0.0012315,0.0012919,0.0013292,0.0011962,0.001024,0.0010995,0.0013071,0.0009975,0.0011796,0.0012243,0.0012606,0.0014372,0.0012659,0.001284,0.0010278,0.0011848,0.0011833,0.0010678,0.0012364,0.0012343,0.0011605,0.0009281,0.0010567,0.0010893,0.0012309,0.001339,0.0011688,0.0010635,0.0011318,0.0012748,0.0013635,0.0013078,0.0014235,0.0011672,0.0011551,0.001225,0.0012111,0.0012406,0.001262,0.0009458,0.0012138,0.0011738,0.0013577,0.0011748,0.001139,0.0013706,0.00106,0.0012327,0.0009252,0.0010401,0.0013226,0.0011912,0.000928,0.0009691,0.0009406,0.0013627,0.0010611,0.0012837,0.0011775,0.0011304,0.0011992,0.0012575,0.0009008,0.0013609,0.001239,0.0012932,0.0012307,0.0010231,0.0009803,0.0010596,0.001315,0.0010771,0.001377,0.0010628,0.0012852,0.0012903,0.0011563,0.0013705,0.0012802,0.0013218,0.0011812,0.0012787,0.0012672,0.0012388,0.001119,0.0010633,0.0011448,0.001154,0.0011137,0.0012,0.0011278,0.0012283,0.0010711,0.0015643,0.0011211,0.0012364,0.0009731,0.0012098,0.0009893,0.0012648,0.001242,0.001179,0.0011429,0.0010871,0.0013461,0.0009815,0.001095,0.0010997,0.001089,0.0013646,0.0013857,0.0010805,0.0010565,0.0014615,0.001128,0.001103,0.0012017,0.0012577,0.0011315,0.0012571,0.0010664,0.00118589514628699
3350,3.27187169798725,0.0011204,0.0010068,0.0011753,0.0009927,0.0012988,0.001158,0.0011792,0.0007806,0.0010735,0.0010359,0.0011746,0.0010007,0.0010414,0.0010212,0.0011565,0.0010074,0.00116,0.0012936,0.0010177,0.0009624,0.0009663,0.0010789,0.001079,0.0011745,0.0011966,0.0011865,0.001192,0.0012027,0.0012232,0.001001,0.0010128,0.0008884,0.0011879,0.0009053,0.0010082,0.0012319,0.001022,0.0011609,0.0011341,0.00111,0.0010773,0.0012585,0.0011877,0.0012817,0.0010341,0.0012207,0.0011504,0.0009045,0.001036,0.0010355,0.001074,0.0010281,0.0010305,0.0012,0.0008733,0.0011651,0.0012885,0.0008773,0.0013863,0.0012946,0.00121,0.0008609,0.0010388,0.0009806,0.0008754,0.0009649,0.001188,0.0010335,0.001116,0.0011827,0.0009998,0.000891,0.0010411,0.0009661,0.0010524,0.0010454,0.0010699,0.0013665,0.0009265,0.0011395,0.0011371,0.0012425,0.0011339,0.0008328,0.0010182,0.0012138,0.0009402,0.000987,0.0010844,0.0011787,0.0012812,0.0011803,0.0012011,0.0009218,0.0011792,0.0010306,0.0009072,0.0011044,0.0010493,0.0010302,0.0008295,0.000988,0.0009849,0.0011882,0.0013044,0.0010159,0.0010303,0.0009467,0.0012067,0.0012397,0.001194,0.001237,0.0010798,0.0010886,0.0011317,0.0010741,0.0011793,0.0010982,0.0007916,0.0011582,0.0011873,0.001291,0.0011475,0.0011351,0.0013268,0.0009399,0.0010442,0.0009149,0.0008933,0.0012947,0.0010484,0.0008085,0.000837,0.0008164,0.0012692,0.0008973,0.0011554,0.0010857,0.0009555,0.0011872,0.0011279,0.0008396,0.001353,0.0011445,0.001296,0.0012242,0.0009041,0.0008651,0.0009516,0.0010943,0.0009916,0.001197,0.0008601,0.0011625,0.0011187,0.001002,0.0013405,0.0011231,0.0011988,0.0011066,0.0012108,0.0011939,0.0011295,0.0010183,0.000991,0.0010144,0.0010019,0.0010408,0.0010963,0.000924,0.0011523,0.0009332,0.0014436,0.0010529,0.0010032,0.0007851,0.0010582,0.0008849,0.001106,0.001062,0.000999,0.0011085,0.0010214,0.0012375,0.0009197,0.0009985,0.0009939,0.0010174,0.0013812,0.0011841,0.0009491,0.0010062,0.0013461,0.0010445,0.0010247,0.000975,0.0011901,0.0011407,0.0011641,0.0009528,0.0010814386801107
3320,3.06631440809989,0.0010456,0.0008815,0.0010903,0.0008641,0.0011656,0.0011228,0.0010697,0.0007884,0.0010497,0.0010259,0.0010901,0.000923,0.0009505,0.0009576,0.001061,0.0009554,0.0010527,0.001331,0.0009367,0.0008991,0.0008877,0.00098,0.0009945,0.00109,0.0011612,0.0010693,0.0010063,0.0010864,0.00123,0.0009663,0.0009279,0.0008911,0.0011029,0.0009014,0.0009672,0.0011865,0.0010355,0.0011016,0.0010663,0.0010022,0.0010295,0.0011798,0.0011375,0.0012564,0.000973,0.0010463,0.0011778,0.0008927,0.0009725,0.0009675,0.0010475,0.0009556,0.0009382,0.0012395,0.0008393,0.0011015,0.0011879,0.0009066,0.0013244,0.0012016,0.0011379,0.0007971,0.0010523,0.0008904,0.0007885,0.0009733,0.0010927,0.0009848,0.0010229,0.0011186,0.0009667,0.0007904,0.0010136,0.0009277,0.0010523,0.001012,0.0010428,0.0013107,0.0009214,0.0010777,0.0010148,0.0011735,0.0010952,0.0007402,0.0009906,0.0011662,0.0009293,0.0008674,0.0010028,0.0011075,0.0011705,0.0011119,0.00115,0.0008608,0.001176,0.0009344,0.0008319,0.001021,0.0009491,0.0009421,0.0008018,0.0009574,0.0009279,0.0011729,0.0012984,0.0009326,0.0010208,0.0008401,0.001149,0.0011355,0.001112,0.0010944,0.0010333,0.0010352,0.0010782,0.000979,0.001119,0.0009813,0.0007372,0.0011363,0.0012136,0.001237,0.0011344,0.0011333,0.0012841,0.0008847,0.0009368,0.0009426,0.0008224,0.0012903,0.0009837,0.0007732,0.0007761,0.0007418,0.0012219,0.0008165,0.0010788,0.0010441,0.0008446,0.0011792,0.0010693,0.0008247,0.0012932,0.0010764,0.0012798,0.0012406,0.0008592,0.0008289,0.0008766,0.0009714,0.0009759,0.0010872,0.0007526,0.0010737,0.0010054,0.000913,0.0013028,0.001016,0.0011202,0.0010522,0.0011881,0.0011384,0.0010329,0.0010033,0.0009431,0.0009551,0.0009142,0.0010095,0.0010102,0.0008438,0.0010892,0.0008509,0.0013248,0.001047,0.000852,0.000725,0.0009709,0.0008336,0.000986,0.0009698,0.0008862,0.001078,0.0009988,0.0011581,0.0008999,0.0009242,0.0009589,0.0010024,0.0013786,0.0010182,0.0008746,0.0009678,0.0012528,0.0010034,0.0009952,0.0008228,0.0011525,0.0011649,0.0011087,0.0009069,0.00102119164367882
3290,3.01531078243005,0.00108,0.0008506,0.0010937,0.0008175,0.0011237,0.0011175,0.0010315,0.0009388,0.0010451,0.001109,0.0010725,0.0008545,0.0009304,0.0009477,0.0010627,0.0010678,0.0010247,0.0013796,0.0009624,0.0009548,0.000934,0.0009962,0.0009567,0.0010967,0.0011784,0.0010448,0.0009189,0.0010916,0.0012276,0.001019,0.000969,0.0009432,0.0010321,0.0009925,0.0010316,0.001212,0.001212,0.0011056,0.0010137,0.0009156,0.0010748,0.001116,0.001098,0.0011767,0.0009745,0.001025,0.0012169,0.0009437,0.001021,0.0009483,0.0011664,0.0010302,0.000995,0.0013447,0.0009444,0.0010616,0.0010851,0.0010733,0.0012911,0.0011278,0.0011082,0.0008406,0.001179,0.0009503,0.0008124,0.0011252,0.0010155,0.001089,0.001023,0.0010747,0.0010515,0.0008462,0.0010559,0.0009914,0.0010366,0.0010636,0.0011058,0.0013362,0.0010176,0.0010702,0.0009519,0.0011364,0.0010993,0.0008265,0.0010597,0.0012032,0.0010025,0.0008801,0.0010264,0.0010552,0.0011415,0.0010743,0.001158,0.0008807,0.0011732,0.0009403,0.0009107,0.0010258,0.0010017,0.0009305,0.0009027,0.000996,0.0009565,0.0012072,0.0013435,0.0009762,0.0010538,0.0008743,0.0011083,0.0010673,0.0010882,0.0010315,0.0010608,0.0010058,0.001097,0.0009605,0.0010611,0.0009492,0.000864,0.0011746,0.0012637,0.0012056,0.0011462,0.001134,0.001243,0.0009486,0.0009755,0.0010394,0.0008894,0.0013288,0.0010602,0.0008907,0.0008449,0.0007572,0.0012584,0.0008862,0.0010956,0.0010927,0.00085,0.001179,0.0011396,0.0008935,0.0011394,0.0010566,0.0012313,0.0012984,0.0009465,0.0009366,0.0008614,0.0010265,0.0010867,0.0011053,0.0008183,0.0010466,0.0009978,0.0009426,0.0012504,0.0009997,0.0011203,0.0010343,0.0012476,0.0011146,0.000959,0.0011436,0.0009395,0.0010248,0.0009429,0.0010519,0.0009563,0.0009871,0.0010495,0.0008697,0.00121,0.0011539,0.0008472,0.0009,0.0009994,0.0008789,0.0009361,0.0010365,0.0008959,0.0010557,0.0010545,0.001132,0.0009561,0.0008901,0.0010509,0.0010875,0.0013408,0.0009167,0.0009025,0.0009497,0.0011988,0.0010396,0.0010546,0.0008057,0.0011705,0.0012159,0.0011211,0.0009843,0.00104106949006338
3260,3.26104496493375,0.0011171,0.0008229,0.0010995,0.0007751,0.0010842,0.0011136,0.0009961,0.0010919,0.001041,0.0011944,0.0010574,0.0007882,0.0009135,0.0009399,0.0010671,0.0011838,0.0009993,0.0014278,0.0009915,0.0010141,0.0009838,0.0010153,0.0009212,0.0011059,0.0011971,0.0010236,0.0008362,0.0010998,0.0012266,0.0010744,0.0010142,0.0009974,0.000963,0.0010862,0.0010973,0.0012399,0.0013894,0.0011117,0.0009625,0.0008316,0.0011228,0.0010546,0.0010597,0.0010976,0.000977,0.0010079,0.0012558,0.0009974,0.0010723,0.0009309,0.001288,0.0011076,0.0010557,0.0014517,0.0010536,0.0010234,0.0009848,0.0012432,0.0012591,0.0010557,0.001081,0.0008871,0.0013081,0.001014,0.0008392,0.0012794,0.0009397,0.0011965,0.0010261,0.0010328,0.0011393,0.0009065,0.0011,0.0010572,0.0010214,0.0011171,0.0011713,0.0013637,0.001116,0.0010648,0.000892,0.0011005,0.0011042,0.0009177,0.0011304,0.001242,0.0010777,0.0008971,0.001053,0.0010049,0.0011149,0.0010383,0.0011674,0.0009036,0.0011736,0.0009491,0.0009932,0.0010329,0.0010582,0.0009212,0.0010068,0.0010365,0.0009888,0.001244,0.0013905,0.0010217,0.0010885,0.0009124,0.0010696,0.0010003,0.0010656,0.0009719,0.0010909,0.0009781,0.0011173,0.0009443,0.0010044,0.0009189,0.0009947,0.0012146,0.001314,0.0011754,0.0011596,0.0011361,0.0012024,0.0010156,0.0010185,0.0011384,0.0009595,0.0013691,0.0011404,0.0010125,0.0009166,0.000776,0.0012969,0.0009603,0.0011148,0.0011438,0.00086,0.0011798,0.0012129,0.0009649,0.0009853,0.0010392,0.001183,0.0013576,0.0010369,0.0010477,0.0008486,0.0010853,0.0011996,0.0011271,0.0008887,0.0010216,0.0009944,0.0009758,0.0011982,0.0009868,0.0011229,0.0010174,0.0013088,0.0010929,0.0008866,0.0012873,0.000938,0.0010973,0.0009751,0.0010966,0.0009043,0.0011361,0.0010113,0.0008907,0.001096,0.0012637,0.0008472,0.0010771,0.001032,0.000927,0.0008896,0.0011071,0.0009086,0.0010344,0.0011126,0.001108,0.0010135,0.0008581,0.0011464,0.0011772,0.0013024,0.0008181,0.0009332,0.0009337,0.0011472,0.0010778,0.0011165,0.0007928,0.00119,0.0012675,0.0011352,0.0010655,0.00106339322218306
3230,3.61213132988667,0.001198,0.0009141,0.0011195,0.0008747,0.0010995,0.0011766,0.0010933,0.0012092,0.0011297,0.0013366,0.0011371,0.0009294,0.0010597,0.0010267,0.0011468,0.001332,0.0010722,0.0014504,0.0010969,0.0011644,0.0011169,0.0011018,0.0009979,0.0011655,0.0012579,0.0011308,0.0009412,0.0012109,0.0012817,0.0012012,0.0011626,0.0011378,0.0010029,0.0012435,0.001095,0.0013498,0.0015235,0.0011318,0.0010218,0.000942,0.0012284,0.00114,0.0010918,0.0011532,0.0010556,0.0011192,0.0012637,0.0011622,0.0011603,0.0010124,0.0014173,0.0011877,0.0011936,0.0015566,0.0012711,0.0010875,0.0010941,0.001419,0.0012978,0.0011113,0.0011486,0.0009921,0.0014547,0.001149,0.000923,0.0013935,0.0009613,0.0012822,0.0011466,0.0011151,0.0012926,0.0010466,0.0011967,0.0011275,0.0010817,0.0011957,0.0012746,0.0014145,0.0012514,0.0011781,0.0009874,0.0011045,0.0011292,0.0011137,0.001185,0.0012945,0.0011714,0.0010606,0.0011577,0.001103,0.0011444,0.0010869,0.0012004,0.0010412,0.0012357,0.001024,0.0010931,0.0010956,0.0012009,0.0010056,0.0011631,0.001125,0.0011451,0.0013815,0.0014876,0.0010863,0.0012185,0.0010072,0.0011517,0.0009841,0.0010879,0.0010736,0.0012023,0.0010696,0.0011509,0.00102,0.0010465,0.0009202,0.0011437,0.0012878,0.00135,0.0011804,0.0012195,0.0011621,0.0012007,0.0011371,0.0011557,0.0013159,0.0010618,0.0014768,0.0012679,0.00126,0.0010225,0.0009507,0.0013603,0.0011509,0.0011846,0.0012486,0.0010545,0.0012504,0.0013526,0.0010835,0.0009795,0.0011367,0.0012286,0.001454,0.0011604,0.0012057,0.0009434,0.001151,0.0012583,0.0012317,0.0010471,0.0010665,0.0011277,0.0010966,0.0011925,0.0010928,0.0011916,0.0010262,0.0013729,0.0011547,0.0009094,0.001455,0.0010226,0.0012165,0.0010892,0.0011501,0.0009552,0.0013488,0.0010453,0.0009513,0.001053,0.0013932,0.0009632,0.0012665,0.0012352,0.0010436,0.0010201,0.0012313,0.0009673,0.0010867,0.001245,0.0011905,0.001035,0.0009412,0.0012818,0.0012602,0.0012801,0.0008727,0.0010288,0.0010486,0.0012441,0.0011547,0.0012275,0.0009165,0.0012593,0.0013479,0.0011751,0.0012466,0.00115570224113828
3200,4.10426660059674,0.0013071,0.0010817,0.0011495,0.0010664,0.0011503,0.0012829,0.0012758,0.0013042,0.0012776,0.001515,0.001278,0.0012032,0.0013112,0.0011745,0.001275,0.0015006,0.0012075,0.0014557,0.0012516,0.0013732,0.0013041,0.0012315,0.0011466,0.0012555,0.0013453,0.0013209,0.0011674,0.0013878,0.0013725,0.0013743,0.0013776,0.0013337,0.0011131,0.001441,0.0010491,0.0015126,0.0016289,0.0011615,0.0011521,0.0011774,0.0013711,0.0013197,0.0011692,0.0012958,0.0011826,0.001313,0.0012514,0.0013987,0.001272,0.0011573,0.001551,0.0012693,0.0013811,0.0016603,0.0015577,0.0012175,0.0013387,0.0015994,0.001382,0.0012491,0.0012773,0.0011351,0.0016125,0.001329,0.0010434,0.0014835,0.0010455,0.0013547,0.0013428,0.0012774,0.0014875,0.0012382,0.0013269,0.0012003,0.0011908,0.0012902,0.0014025,0.0014803,0.0014102,0.0013682,0.001183,0.0011345,0.001167,0.0013754,0.0012286,0.0013559,0.0012775,0.0013182,0.001313,0.0012964,0.0012102,0.0011897,0.0012494,0.0012529,0.0013377,0.0011418,0.0012046,0.001194,0.0013995,0.0011496,0.0013532,0.001245,0.0013817,0.001584,0.0016174,0.0011623,0.0014096,0.0011385,0.0013116,0.0010007,0.0011389,0.0012789,0.0013665,0.0012379,0.001193,0.001155,0.0011522,0.0009413,0.0013049,0.0013829,0.0013767,0.0012083,0.0013123,0.0012038,0.0012238,0.0012937,0.0013533,0.0015433,0.0011852,0.0016278,0.0014259,0.001588,0.0011506,0.0012252,0.0014398,0.0014162,0.0012868,0.0013881,0.0013695,0.0013661,0.001533,0.0012335,0.0010695,0.0013083,0.0013345,0.001574,0.0013038,0.0013936,0.001107,0.0012216,0.0012819,0.0013898,0.0012621,0.0011565,0.0013489,0.0012738,0.0012171,0.0012758,0.001302,0.0010511,0.0014389,0.0012701,0.0009934,0.0016378,0.001163,0.0013665,0.0012564,0.0012085,0.0010722,0.0016024,0.0011262,0.0010375,0.0010548,0.0015358,0.0011529,0.0014615,0.0015482,0.0012043,0.0012645,0.0013897,0.0010545,0.0011876,0.001425,0.0013415,0.0010345,0.0010988,0.0014431,0.0013409,0.0012678,0.001026,0.0011661,0.0012477,0.0014364,0.0012562,0.00137,0.001128,0.0013602,0.001446,0.0012315,0.0014918,0.00129308825875376
